text,sentiment
"Good job, well done!",positive
"Very bad experience, will not come back.",negative
"Love it! So amazing.",positive
"Terrible service, very disappointed.",negative
"Excellent product! Highly recommend.",positive
"Not worth the price, very dissatisfied.",negative
"Fantastic experience, will come again.",positive
"Awful, will never return.",negative
"Totally love this, it's perfect!",positive
"Don't waste your money on this.",negative
"Highly recommend this service!",positive
"Bad customer support, very rude.",negative
"Really enjoyed this, will buy again.",positive
"Poor quality, broke after one use.",negative
"Great service, the staff was very helpful.",positive
"Completely useless product.",negative
"I had a wonderful time here, will come back.",positive
"The food was cold and tasteless.",negative
"Absolutely love this, a must-have!",positive
"Awful experience, wouldn't recommend to anyone.",negative
"Best purchase ever! So happy with it.",positive
"Really disappointing, I expected more.",negative
"One of the best experiences I’ve had!",positive
"Terrible quality, don’t waste your money.",negative
"Will definitely return, great customer service!",positive
"Very disappointing, would not buy again.",negative
"Totally worth it! Great value for money.",positive
"Not good at all, very frustrating.",negative
"Perfect, exceeded my expectations!",positive
"Would never recommend this to anyone.",negative
"Such a great product, I’m in love with it!",positive
"Very rude customer service, not happy.",negative
"Love it! The quality is amazing.",positive
"Didn't work as expected, very disappointed.",negative
"Excellent quality and design, highly recommend!",positive
"Never going to use this again, terrible.",negative
"Absolutely worth every penny!",positive
"Extremely poor quality, don’t buy.",negative
